HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
10306,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Chirogymnastik (Funktionelle Wirbelsäulengymnastik): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
20306,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Chirogymnastik (Funktionelle Wirbelsäulengymnastik): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
60306,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Chirogymnastik (Funktionelle Wirbelsäulengymnastik): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
80306,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Chirogymnastik (Funktionelle Wirbelsäulengymnastik): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
10307,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., EB",Bewegungsübungen im Schlingentisch,1900-01-01,9999-12-31,
20307,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., EB",Bewegungsübungen im Schlingentisch,1900-01-01,9999-12-31,
60307,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., EB",Bewegungsübungen im Schlingentisch,1900-01-01,9999-12-31,
80307,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., EB",Bewegungsübungen im Schlingentisch,1900-01-01,9999-12-31,
10308,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung einschl. begleit. Kältetherapie,1900-01-01,9999-12-31,
20308,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung einschl. begleit. Kältetherapie,1900-01-01,9999-12-31,
60308,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung einschl. begleit. Kältetherapie,1900-01-01,9999-12-31,
80308,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung einschl. begleit. Kältetherapie,1900-01-01,9999-12-31,
10401,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung: Gruppenbehandlung (2 - 5 Patienten),1900-01-01,9999-12-31,GKV-SV
20401,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung: Gruppenbehandlung (2 - 5 Patienten),1900-01-01,9999-12-31,GKV-SV
60401,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung: Gruppenbehandlung (2 - 5 Patienten),1900-01-01,9999-12-31,GKV-SV
80401,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung: Gruppenbehandlung (2 - 5 Patienten),1900-01-01,9999-12-31,GKV-SV
